count
1486
684
540
499
480
473
401
352
341
317
288
282
248
231
210
195
175
168
166
162
159
148
146
136
135
121
117
111
105
102
97
92
92
88
87
82
78
77
77
62
61
60
60
59
58
56
55
55
54
50
47
46
45
45
45
44
39
36
36
35
34
33
33
32
32
31
30
27
27
27
24
24
23
22
22
22
22
21
21
20
20
17
16
16
16
16
16
16
15
15
15
15
14
13
12
12
12
11
10
10
9
9
9
8
8
7
7
6
6
6
5
5
5
5
4
4
4
4
3
3
3
3
3
3
3
3
3
3
3
2
2
2
2
2
2
1
1
1
1
1
1
1
1
